微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5132428102337945,PdBBo9OcN,机械即是艺术,2025-02-10 09:07:58,雷军透露：80万的Ultra车标采用黄金材质，小米公关表示这非常“刑”。全程开启哨兵模式，联系雷军称两款ultra月底见 #邯情脉脉郸等你来#。 机械即是艺术的微博视频 ,0,0,0,中国,北京,北京,最新机械工艺、工业流水线展示，让你了解到机械的魅力,72,49.2万,男,https://weibo.com/u/6605420925,https://m.weibo.cn/detail/PdBBo9OcN,PdBBo9OcN
5132427892097104,PdBB38Nyg,车界热评,2025-02-10 09:07:07,发布了头条文章：《雷军余承东全成了“污点”网红，他们该不该道歉》  雷军余承东全成了“污点”网红，他们该不该道歉 ,0,0,0,中国,浙江,杭州,评车评人评事，关注车界热点！,96,2.2万,男,https://weibo.com/u/6896919335,https://m.weibo.cn/detail/PdBB38Nyg,PdBB38Nyg
5132427641226801,PdBAE5997,海阔天空海浪521,2025-02-10 09:06:08,雷军家乡：“小城大爱”屡次全网刷屏　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　...@QQ浏览器 网页链接 ,0,0,0,中国,湖北,武汉,难得糊涂,334,29,男,https://weibo.com/u/3433281720,https://m.weibo.cn/detail/PdBAE5997,PdBAE5997
5131862383002236,PdmSWcB1a,真养猫的哈士奇,2025-02-08 19:40:00,万万没想到，雷军粉丝用苹果用户最多，然后是华为，小米只占15.6%，而余承东的粉丝用华为设备的占44.62％  如果余承东的粉丝继续增加，华为设备用户的比例肯定会进一步被稀释，但是应该也不至于不到20％。 ,1,72,240,中国,河北,石家庄,科技因扯淡更美，数码为吹逼而生，欢迎关注WX公众号:萌哈科技（hahatech）,468,14.5万,男,https://weibo.com/u/5793009820,https://m.weibo.cn/detail/PdmSWcB1a,PdmSWcB1a
5132183200600393,Pdveo2wbL,名人张聊,2025-02-09 16:54:49,#雷军开小米YU7实测一千公里#  雷军昨天开了一千公里测试小米YU7，今天早上七点不到就去健身房了，精力太旺盛了，真心佩服  #老张杂谈# ,10,20,76,中国,河南,郑州,①我不是名人，只分享名人；②专注科技互联网、数码汽车、商业名人等领域；③全网同名,359,97.1万,男,https://weibo.com/u/6383171369,https://m.weibo.cn/detail/Pdveo2wbL,Pdveo2wbL
5132427104878713,PdBzMktaV,槿丶,2025-02-10 09:03:59,雷军家乡：“小城大爱”屡次全网刷屏　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　...@QQ浏览器 网页链接 ,0,0,0,中国,湖北,武汉,,15,4,女,https://weibo.com/u/1792918720,https://m.weibo.cn/detail/PdBzMktaV,PdBzMktaV
5132427095704885,PdBzLnW6h,平躺的机器猫,2025-02-10 09:03:58,雷军家乡：“小城大爱”屡次全网刷屏　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　... 网页链接 ,0,0,0,中国,湖北,N/A,,193,17,男,https://weibo.com/u/2842978184,https://m.weibo.cn/detail/PdBzLnW6h,PdBzLnW6h
5132426962012613,PdBzy8rzv,格調2017,2025-02-10 09:03:26,雷军家乡：“小城大爱”屡次全网刷屏　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　... 网页链接 ,0,0,0,中国,湖北,宜昌,开心就好~,6,13,男,https://weibo.com/u/6096428343,https://m.weibo.cn/detail/PdBzy8rzv,PdBzy8rzv
5132426944184964,PdBzwhyHq,平躺的机器猫,2025-02-10 09:03:22,雷军家乡：“小城大爱”屡次全网刷屏　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　... 网页链接 ,0,0,0,中国,湖北,N/A,,193,17,男,https://weibo.com/u/2842978184,https://m.weibo.cn/detail/PdBzwhyHq,PdBzwhyHq
5132426839851074,PdBzlFkIi,公知公墓管理处,2025-02-10 09:02:56,雷军家乡：“小城大爱”屡次全网刷屏　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　... 网页链接 ,0,0,0,中国,湖北,N/A,,485,450,男,https://weibo.com/u/1777853443,https://m.weibo.cn/detail/PdBzlFkIi,PdBzlFkIi
5132264795018058,PdxlZl3qq,ipo观察,2025-02-09 22:19:03,雷军创办小米之前在清华大学经管学院的一次演讲。   季白羽的微博视频 ,32,1,27,中国,广东,深圳,聚焦金融、证券市场，IPO领域权威资讯。投稿、合作请联系微信：WanheAE,2860,81.8万,男,https://weibo.com/u/1984738451,https://m.weibo.cn/detail/PdxlZl3qq,PdxlZl3qq
5132425187035696,PdBwGtwiY,武汉蒋菲,2025-02-10 08:56:23,想了三天三夜想不通，请雷军给个合理的解释。 2024年，比亚迪销量427万台，市值9510亿， 2024年，小米销量13.5万，市值突破10000亿， 真是没有对比就没有差距，虽然小米su7在2024年创造了国产纯电汽车的奇迹（月销量超越Model 3），但在总销量面前，比亚迪领先小米30多倍，更重要的是比亚迪卖车是赚钱 ...全文,0,0,248,中国,四川,达州,,122,25.9万,女,https://weibo.com/u/6108198008,https://m.weibo.cn/detail/PdBwGtwiY,PdBwGtwiY
5132423501971514,PdBtY8gSC,护草使者_,2025-02-10 08:49:40,可以学习雷军营销，把一部分观众的电影票退还，感谢观众，不用太多，前十场的观众就好，就可以上热搜了 #哪吒2距全球影史票房榜1差一百多亿# ,0,0,0,中国,广东,深圳,底层人士，渴望中奖,1254,2116,女,https://weibo.com/u/3733620234,https://m.weibo.cn/detail/PdBtY8gSC,PdBtY8gSC
5132422316295298,PdBs3qpH4,在船舱下棋的凤梨冰,2025-02-10 08:44:59,#雷军曾劝年轻人要尽快学会A# Al 满足你的工作了吗厦门·朱富贵火锅(禹悦汇店) #Al 智能# ,0,0,0,中国,福建,N/A,,4,1,男,https://weibo.com/u/7964294085,https://m.weibo.cn/detail/PdBs3qpH4,PdBs3qpH4
