微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5119555198517517,P8cIDzJNj,Sherl贝尼,2025-01-05 20:35:38,#新年送你一套小红花##王冰冰# 即开怼+临时起意，对王冰冰客气+预先安排好的 没有对比就没有伤害，这下还会有人说小尼和王冰冰是好朋友吗？ PS: 王冰冰会好好说话吗？自己多大岁数心里没点儿数吗？不恶心吗？ ,0,0,0,英国,英国,N/A,,534,36,女,https://weibo.com/u/5848148186,https://m.weibo.cn/detail/P8cIDzJNj,P8cIDzJNj
5119546221134013,P8cua4L0x,满屏都是大长腿,2025-01-05 19:59:57,#闪闪发光的少年# #王冰冰# 再次挑战蹦床起立，她的动作和上次如出一辙～～ 满屏都是大长腿的微博视频 ,0,1,0,中国,北京,北京,都给我回归好吗？！！！！,94,17.5万,女,https://weibo.com/u/6183820831,https://m.weibo.cn/detail/P8cua4L0x,P8cua4L0x
5119543700360219,P8cq61vHZ,明星叭叭叭,2025-01-05 19:49:57,#说走就走# #新年送你一套小红花# 定格瞬间，美好启航。锁定央视频，与总台记者王冰冰一起开启新年之旅，让心愿照亮前行的道路。 #哈尔滨冰雪大世界# 桃花树下的许愿池充满希望。 明星叭叭叭的微博视频 ,0,1,0,中国,北京,北京,一看到明星八卦，小嘴就叭叭的停不下来啊！,75,49.5万,男,https://weibo.com/u/6042105169,https://m.weibo.cn/detail/P8cq61vHZ,P8cq61vHZ
5119519057772638,P8bMlwC18,候鸟读书,2025-01-05 18:12:01,央视推荐的40本书，认真看完脱胎换骨！看图5 免费领取电子书 ,2,1,1,中国,福建,漳州,候鸟飞回，疲倦的人回家用书治愈自己。,1272,86.4万,女,https://weibo.com/u/5264549724,https://m.weibo.cn/detail/P8bMlwC18,P8bMlwC18
5119514559909595,P8bF5FzWb,吻奶珊的喵酱,2025-01-05 17:54:10,王冰冰#王冰冰#  世界由你去闯，花月由你去赏， 所有的思念和心动都交给你， 你归我。 ,3,13,98,中国,浙江,温州,随心所欲,477,1.9万,女,https://weibo.com/u/1799906660,https://m.weibo.cn/detail/P8bF5FzWb,P8bF5FzWb
5119127123397352,P81AcefO0,吃花蜜的喵酱,2025-01-04 16:14:37,王冰冰一张相对比较清晰的吉林春晚录制返图，来自小红📖用户 大耳朵仔 图②单人版 可做壁纸 ,12,57,202,中国,江苏,南京,,132,6.7万,男,https://weibo.com/u/2719690694,https://m.weibo.cn/detail/P81AcefO0,P81AcefO0
5119502657786535,P8blTwFDh,吃栟糖的喵酱,2025-01-05 17:06:52,王冰冰 今人不见古时玥已经可以在腾讯视频预约了 ,1,3,19,中国,北京,北京,和你走到最后,702,676,女,https://weibo.com/u/2207472983,https://m.weibo.cn/detail/P8blTwFDh,P8blTwFDh
5119502413208324,P8blvdsDa,梁山好烟,2025-01-05 17:05:54,王冰冰 22年春节的冰冰～ 梁山好烟的微博视频 ,1,2,10,中国,江苏,苏州,,428,19,女,https://weibo.com/u/7748938571,https://m.weibo.cn/detail/P8blvdsDa,P8blvdsDa
5119492925690113,P8b6cnSg1,男女那么些事,2025-01-05 16:28:12,小尼说发出来要加tag #央视# #尼格买提# #王耀庆# 王冰冰 此生要去的100个地方 男女那么些事的微博视频 ,0,1,1,中国,北京,北京,追最热的剧，吃最新的瓜~,79,24.4万,男,https://weibo.com/u/6293327984,https://m.weibo.cn/detail/P8b6cnSg1,P8b6cnSg1
5119399272384723,P88F9a0nh,羽星幻,2025-01-05 10:16:03,王冰冰 三个路拍        来源:🍠  from0 ,4,26,33,中国,广东,深圳,,103,694,男,https://weibo.com/u/5420376009,https://m.weibo.cn/detail/P88F9a0nh,P88F9a0nh
5119440639492546,P89JRDPrA,央视频,2025-01-05 13:00:26,迎着零下25℃的极寒空气，1月5日13:00，央视频《说走就走·哈尔滨｜冰天雪地任逍遥》直播活动在哈尔滨“冰雪大世界”展开！总台主持人任鲁豫、总台记者王冰冰，歌手亚森、谭杰希、魏巡，短道速滑运动员任子威组成“嘉宾帮帮团”，共同带领观众在冰天雪地中欣赏绝美雪景、沉浸式感受幸福“温度”。   ...全文,14,60,48,中国,北京,北京,中央广播电视总台央视频官方账号。“央视频”是总台推出的综合性视听新媒体旗舰平台。,94,478.6万,女,https://weibo.com/u/7211561239,https://m.weibo.cn/detail/P89JRDPrA,P89JRDPrA
5119478721678168,P8aJi72ze,夏拙拙拙,2025-01-05 15:31:45,和王冰冰天天吃火鸡面 ,0,5,1,中国,安徽,蚌埠,,388,44,女,https://weibo.com/u/5675064186,https://m.weibo.cn/detail/P8aJi72ze,P8aJi72ze
5119478052429623,P8aIdac3t,刚刚的萌宠,2025-01-05 15:29:06,任鲁豫和王冰冰在哈尔滨冰雪大世界留下了美好回忆，2024年他们依旧努力前行。 刚刚的萌宠的微博视频 ,0,0,0,中国,内蒙古,呼和浩特,开心常驻.,1469,3.9万,女,https://weibo.com/u/7734995295,https://m.weibo.cn/detail/P8aIdac3t,P8aIdac3t
5119471782201440,P8ay69eH6,Jaysonicy,2025-01-05 15:04:11,王冰冰 头越大，越容易冷 Jaysonicy的微博视频 ,0,8,19,中国,广东,N/A,,28,3,男,https://weibo.com/u/7765115081,https://m.weibo.cn/detail/P8ay69eH6,P8ay69eH6
5119099431292357,P80Rx5qct,海尔,2025-01-04 14:24:35,#新年送你一套小红花# 知道宝子们已经等不及啦出发！尔滨，我们来啦戳👇1月5日13：00锁定《说走就走•哈尔滨｜冰天雪地任逍遥》直播间，我们哥俩带宝子们一起跟随央视总台主持人王冰冰@吃花椒的喵酱 和任鲁豫@任鲁豫 ，走进哈尔滨冰雪大世界，见证在冰雪世界里的温暖奇迹，解锁海尔 ...全文,107,44,180,中国,山东,N/A,在这里，你将认识一个不一样的海尔！,1748,294.1万,男,https://weibo.com/u/1728875812,https://m.weibo.cn/detail/P80Rx5qct,P80Rx5qct
5119005025371701,P7Ypgmxql,吻奶珊的喵酱,2025-01-04 08:09:27,王冰冰#王冰冰#  浅喜似苍狗，深爱如长风。 ,0,10,116,中国,浙江,温州,随心所欲,477,1.9万,女,https://weibo.com/u/1799906660,https://m.weibo.cn/detail/P7Ypgmxql,P7Ypgmxql
