微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5160287293146347,Ppilzdcvx,娱霍霍,2025-04-28 06:10:27,#石凯回应#  纯路人，朋友说她4.19去武汉看林俊杰音乐节，有石凯，他真的每唱一首歌就抱怨武汉好热好热，可是台下他的有些粉丝为了见他一面夜排站十几个小时，他没说过一句辛苦了或者感谢的话，就让我感觉他根本不在意他的粉丝！#石凯脱粉##作品二创##热点现场# 娱霍霍的微博视频 ,0,18,62,中国,江苏,苏州,追星追剧追时尚穿搭，喜欢谁就发谁，发博图片和视频均来自网络，侵删！ 需要宣发的找我合作 wx:  sonny1068,7009,25.1万,女,https://weibo.com/u/7527530650,https://m.weibo.cn/detail/Ppilzdcvx,Ppilzdcvx
5160073106555975,PpcM6rvvx,Lingyulin_,2025-04-27 15:59:21,想了很久 还是决定把这个消息告诉大家是的，我脱粉林俊杰了…首先对大家说对不起，这是我最后一次以粉丝的身份谈起林俊杰了，你们看到这句话的时候，我已经不粉了，很高兴喜欢了他这么久，也给我带来了很多快乐，很多动力，不要骂我，毕竟每个人都自己要走的路。但是追林俊杰就像是在追很遥远的星星 ...全文,0,5,1,中国,上海,上海,喜欢张凌赫和林俊杰周杰伦的大女孩一枚。,649,34,女,https://weibo.com/u/6337474748,https://m.weibo.cn/detail/PpcM6rvvx,PpcM6rvvx
5159958136489808,Pp9MFreik,泡芙星日记,2025-04-27 08:22:30,随机抽查脱粉广场：1.  赵丽颖粉丝批评其“忽视作品质量”“消费粉丝忠诚度”，反映事业粉对艺术追求的期待落空。2.  李沁粉丝因不满其从“正剧女主”转型“流量挂件”，质疑团队规划失当导致事业滑坡3.  BOYNEXTDOOR因地震取消曼谷演唱会，但未及时公布信息且成员优先撤离，被批“漠视粉丝安全 ...全文,0,0,2,中国,江苏,淮安,全面接各家红稿、接澄清，有意向的都可以私信合作！,291,1.7万,女,https://weibo.com/u/7300118050,https://m.weibo.cn/detail/Pp9MFreik,Pp9MFreik
5159612245606618,Pp0MMnwxk,石三点睡觉Zzzzzzzzzzz,2025-04-26 09:28:02,小红薯刷到林俊杰粉丝刷他和01年的🧹图 阴阳怪气他  如果你们歌手粉丝因为这个脱粉 那我这个路人可要尝试去抢抢演唱会票子了 ,0,0,0,中国,上海,上海,得赚一百亿养老婆们,343,704,女,https://weibo.com/u/1843839483,https://m.weibo.cn/detail/Pp0MMnwxk,Pp0MMnwxk
5159494011061525,PoXI54s9n,遇殇闻夏,2025-04-26 01:38:14,林俊杰  看了🍠特别难过，能不能不要再谈论他的私生活，既然脱粉了能不能滚远点，这是在干嘛？用一点一滴积累的了解，来刺伤曾经爱过的人？深深的无奈和气愤，你们没有心啊，这么好的人怎么忍心伤害，关你们屁事呀，能不能立刻消失！！！ ,0,19,22,中国,江西,南昌,,1029,963,女,https://weibo.com/u/1865761981,https://m.weibo.cn/detail/PoXI54s9n,PoXI54s9n
5159486130489462,PoXvn23ky,到火里来,2025-04-26 01:06:55,林俊杰这把年纪还有因为他谈恋爱脱粉的？？他桃花又几时断过呢，粉丝心里没点数吗 ,0,0,2,奥地利,奥地利,N/A,做签的见人我做鬼也不会放过你的。。。,559,118,女,https://weibo.com/u/7271978625,https://m.weibo.cn/detail/PoXvn23ky,PoXvn23ky
5159465311274301,PoWXN5lvf,林小瓜瓜瓜jj,2025-04-25 23:44:11,林俊杰 小红书发现一博主 几乎是每天一更引导很多人去评论菌包私生活 这博主是啥意思 脱粉回踩啊 你们有人刷到吗 主页全是  名字是两个字一样的   ,0,6,4,中国,浙江,N/A,爱老林的每一天,134,135,女,https://weibo.com/u/5856423297,https://m.weibo.cn/detail/PoWXN5lvf,PoWXN5lvf
5158396669199535,PovaaCBdB,再見茉莉雨,2025-04-23 00:57:47,周杰伦抱歉我准备脱粉了 我现在喜欢五月天和林俊杰 虽然不影响 但是我想说出来吓吓你 想挽留我的话给我下一场的内场票 ,0,1,0,中国,贵州,N/A,在咖啡冷掉之前 我的事说来话长｜我需要一个sofa bed,213,139,女,https://weibo.com/u/5178221177,https://m.weibo.cn/detail/PovaaCBdB,PovaaCBdB
5158192495202665,PopQRlPrX,交付后背,2025-04-22 11:26:28,不想当林俊杰粉丝了 一场都抢不到 无助到想脱粉 我真的生气了 ,0,0,0,中国,山西,阳泉,如果可以 爱像雨季 痛快想你,167,687,女,https://weibo.com/u/3919050393,https://m.weibo.cn/detail/PopQRlPrX,PopQRlPrX
5156828892630313,PnQnvb2gp,绪雨续,2025-04-18 17:08:00,算一下我什么时候脱粉林俊杰@怼怼模拟器 ,0,1,0,中国,四川,N/A,- LGBT/gay/新建文件夹/entreat/进击的巨人- 本宝只想安心玩微博,144,12,女,https://weibo.com/u/7502407918,https://m.weibo.cn/detail/PnQnvb2gp,PnQnvb2gp
5155996814017422,PnuJrgR78,璐柯-vv,2025-04-16 10:01:37,林俊杰被曝与网红恋情，粉丝失望脱粉，多年追随成泡影。 ,19,20,15,中国,湖南,长沙,需要人陪,1053,2.2万,女,https://weibo.com/u/7788484062,https://m.weibo.cn/detail/PnuJrgR78,PnuJrgR78
