微博id,uni_id,url,主页,发布时间,国家,城市,微博bid,微博作者,微博内容,性别,情感倾向,点赞数,爬取时间,用户关注数,用户简介,省份,粉丝数,评论数,转发数
7765115081.0,,https://m.weibo.cn/detail/P8ay69eH6,https://m.weibo.cn/u/6042105350?,2025-01-05 15:04:11,中国,,P8ay69eH6,Jaysonicy,恭喜王冰冰获得百大UP主最佳新人奖！礼服造型惊艳，真是太美了！#王冰冰# #娱乐星熠计划第五期# 桔子味的汽水熊的微博视频 ,m,0.0137141544056348,0.0,2025-01-05 20:39:56,141.0,全球各类最新游戏信息视频,广东,16.2万,2.0,0.0
7872351375.0,P75fUtn12,https://m.weibo.cn/detail/P75fUtn12,https://m.weibo.cn/u/7503663344?,2024-12-29 11:45:20,中国,商洛,,小雨陪你追短剧,谁会不喜欢王冰冰啊！#王冰冰 #奥运会#微博VC计划#  影视侃侃圈的微博视频 ,m,0.0011488473646197,0.0,2025-01-05 20:39:56,102.0,分享好看的影视剧，关注我不迷路！,陕西,8.6万,1.0,0.0
7906919558.0,,https://m.weibo.cn/detail/P812o7HE0,https://m.weibo.cn/u/1799906660?,2025-01-04 14:51:19,中国,汕头,P812o7HE0,史前军迷老古董,王冰冰王冰冰 原来你是我最想留住的幸运。@吃花椒的喵酱  ,f,0.9149919106053608,85.0,2025-01-05 20:39:56,478.0,随心所欲,广东,1.9万,129.0,2.0
7908400955.0,,https://m.weibo.cn/detail/P89wtdqtH,https://m.weibo.cn/u/7685837601?,2025-01-05 12:27:25,中国,铜陵,P89wtdqtH,周欣欣同学2024,王冰冰 回家～回家～有爱就不怕 ,m,0.9451921681173237,5.0,2025-01-05 20:39:56,27.0,一枚普通新闻学社恐男大  因为热爱，所以选择,安徽,22,4.0,1.0
7948493094.0,,https://m.weibo.cn/detail/P82TZ2WqM,https://m.weibo.cn/u/7169517936?,2025-01-04 19:36:07,中国,绥化,P82TZ2WqM,打彩虹六号的喵酱,#王冰冰体验法式松弛感  谁不想和冰冰一起在巴黎逛展啊！#王冰冰说巴黎咖啡馆比便利店还多#微博VC计划#  娱乐兜兜屋的微博视频 ,f,0.9843441540581652,0.0,2025-01-05 20:39:56,119.0,,黑龙江,7万,1.0,0.0
5213435830.0,,https://m.weibo.cn/detail/P84EhaSI0,https://m.weibo.cn/u/5213435830?,2025-01-05 00:02:55,中国,锡林郭勒盟,P84EhaSI0,有点孩怕的喵酱,王冰冰 1500天咯 ,m,0.5,5.0,2025-01-05 20:39:56,476.0,笑忘人间的苦痛只有甜美🥕,内蒙古,1854,6.0,1.0
5264549724.0,,https://m.weibo.cn/detail/P8bMlwC18,https://m.weibo.cn/u/3844400647?,2025-01-05 18:12:01,中国,漳州,P8bMlwC18,候鸟读书,王冰冰  来源：央视频直播 最后蹲下去那声“嘿～”可可爱爱 sym诗宇末的微博视频 ,m,0.999462292076809,13.0,2025-01-05 20:39:56,94.0,普普通通打工人，勤勤恳恳打工魂,福建,696,3.0,0.0
5553381881.0,P70DJ2FF2,https://m.weibo.cn/detail/P70DJ2FF2,https://m.weibo.cn/u/2207472983?,2024-12-29 00:00:16,中国,黄冈,P70DJ2FF2,娱小浠,王冰冰 今人不见古时玥已经可以在腾讯视频预约了 ,f,0.7318945745498816,10.0,2025-01-05 20:39:56,702.0,和你走到最后,湖北,676,1.0,0.0
5675064186.0,,https://m.weibo.cn/detail/P8aJi72ze,https://m.weibo.cn/u/7748938571?,2025-01-05 15:31:45,中国,蚌埠,P8aJi72ze,夏拙拙拙,王冰冰 22年春节的冰冰～ 梁山好烟的微博视频 ,f,0.3814786409081593,3.0,2025-01-05 20:39:56,428.0,,安徽,19,1.0,0.0
5761306459.0,P7I8Eyp5A,https://m.weibo.cn/detail/P7I8Eyp5A,https://m.weibo.cn/u/6293327984?,2025-01-02 14:44:35,中国,马鞍山,,清风娱评,小尼说发出来要加tag #央视# #尼格买提# #王耀庆# 王冰冰 此生要去的100个地方 男女那么些事的微博视频 ,m,0.0227941767576043,1.0,2025-01-05 20:39:56,79.0,追最热的剧，吃最新的瓜~,安徽,24.4万,1.0,0.0
5848148186.0,,https://m.weibo.cn/detail/P8cIDzJNj,https://m.weibo.cn/u/5420376009?,2025-01-05 20:35:38,英国,,P8cIDzJNj,Sherl贝尼,王冰冰 三个路拍        来源:🍠  from0 ,m,0.5105756430639993,24.0,2025-01-05 20:39:56,103.0,,英国,694,18.0,4.0
5974517769.0,,https://m.weibo.cn/detail/P8c4Fq3ZP,https://m.weibo.cn/u/7211561239?,2025-01-05 18:57:10,中国,西安,P8c4Fq3ZP,韦伯的参数a,迎着零下25℃的极寒空气，1月5日13:00，央视频《说走就走·哈尔滨｜冰天雪地任逍遥》直播活动在哈尔滨“冰雪大世界”展开！总台主持人任鲁豫、总台记者王冰冰，歌手亚森、谭杰希、魏巡，短道速滑运动员任子威组成“嘉宾帮帮团”，共同带领观众在冰天雪地中欣赏绝美雪景、沉浸式感受幸福“温度”。   ...全文,f,0.9999999957461768,45.0,2025-01-05 20:39:56,94.0,中央广播电视总台央视频官方账号。“央视频”是总台推出的综合性视听新媒体旗舰平台。,陕西,478.1万,61.0,13.0
