微博id,uni_id,url,主页,发布时间,国家,城市,微博bid,微博作者,微博内容,性别,情感倾向,点赞数,爬取时间,用户关注数,用户简介,省份,粉丝数,评论数,转发数
7890198451.0,,https://m.weibo.cn/detail/Ozzp9kqKa,https://m.weibo.cn/u/1968980901?,2024-10-01 21:14:43,中国,青岛,Ozzp9kqKa,洛杉矶的小妾,李诞是一个很妙的人。 ,f,0.392259060644947,0.0,2024-10-01 22:09:07,250.0,抬起头，睁开眼，星星堆满天,山东,156,0.0,0.0
7935363087.0,,https://m.weibo.cn/detail/Ozw6zcXCe,https://m.weibo.cn/u/7745194228?,2024-10-01 12:50:41,中国,新乡,Ozw6zcXCe,用户7935363087,最近好喜欢王慧玲和李诞 洗漱视频必备😛 ,f,0.9350571509184707,0.0,2024-10-01 22:09:07,42.0,我发疯的地方，勿扰,河南,4,0.0,0.0
,,https://m.weibo.cn/detail/N/A,https://m.weibo.cn/u/6651844151?,,,,,,李诞小卖部生活良药💊  洒脱、清醒又通透 ,m,0.962757615304472,0.0,2024-10-01 22:09:07,99.0,镇魂▶ 来人间凑数了,,559,0.0,0.0
6042524579.0,,https://m.weibo.cn/detail/OzxXR5JG0,https://m.weibo.cn/u/6579089283?,2024-10-01 17:34:43,中国,洛阳,OzxXR5JG0,Ohiohihi18,#范丞丞#    范丞丞在做家务的男人里，经过郭麒麟的简单教学，get了捧哏技能还被李诞夸赞有捧哏天赋 是人见人爱的范丞丞Adam0616 没错啦~ 童话书里的熊酱的微博视频 ,f,0.9999979976069072,1.0,2024-10-01 22:09:07,154.0,梦回大厂,河南,47.5万,0.0,0.0
5974537157.0,,https://m.weibo.cn/detail/OzuaxEcMu,https://m.weibo.cn/u/1573919467?,2024-10-01 07:55:00,中国,忻州,OzuaxEcMu,我一介小小文科生,李诞直播讲述股市大师段永平对自己的感触……祝大家找到热爱，并不痛苦的做下去。一直都觉得，世界上最幸运的事就是能找到自己热爱的事情，并努力下去，每一次的成就感都让自己很快乐。#A股疯涨普通人是否要入局# ,m,0.9999999999496504,318.0,2024-10-01 22:09:07,238.0,我频繁的记录生活，因为一切都值得,山西,15.4万,6.0,82.0
1573919467.0,,https://m.weibo.cn/detail/OzomfwACK,https://m.weibo.cn/u/1687379911?,2024-09-30 17:07:21,中国,郑州,OzomfwACK,星冰乐kiki,可能是最近总看李诞的小卖部直播吧，又刷到黑尾酱去英国读书的视频，感慨她真的好漂亮，于是在想俩人为什么be，翻到某篇文里写李诞喜欢黑尾酱的是她“幼稚天真，敏感忧伤”，想起他的两本书里关于典典的描述，李诞那句“我血是蓝色的啊朋友们”。两个敏感的人相爱。我天，破碎的少女心为之一动。 ,f,0.9999997436280026,77.0,2024-10-01 22:09:07,527.0,天蝎座叛逆男孩,河南,2466,1.0,2.0
5861117661.0,OzmTzjGEn,https://m.weibo.cn/detail/OzmTzjGEn,https://m.weibo.cn/u/7334025174?,2024-09-30 13:23:56,中国,大连,,老猫笔记,李诞   我放不下的虾系男友（因为我还不知道内情，以为他是纯爱少年）渣了我之后，人生一路极速滑向深渊  现在我知道了他有多烂，看清了人的本质就是趋利避害，我再也不会为了情绪价值、氛围感、聊天聊得来这些虚幻的东西，就对一个虾系·普信·垃圾男 泥潭深陷  我会越来越好，就算他让我坠入深 ...全文,m,0.9999839858726928,0.0,2024-10-01 22:09:07,29.0,镇魂,辽宁,3,0.0,0.0
1573919467.0,,https://m.weibo.cn/detail/OzomfwACK,https://m.weibo.cn/u/1642591402?,2024-09-30 17:07:21,中国,郑州,OzomfwACK,星冰乐kiki,#徐志胜回应脱口秀大叫驴#  哈哈#没有人比徐志胜更懂嗓门大的痛#！他细数嗓门大的落寞时刻，“别人是春风化雨，我是春雷”，和司机聊天却被系统检测为吵架现场回应@李诞 评他“大叫驴脱口秀”演化成了“脱口秀大叫驴”，“前面那个，是在形容我的艺术风格，后面那个，是在剥夺我做人的资格！” ...全文,f,0.9941834493948212,49.0,2024-10-01 22:09:07,3477.0,新浪娱乐,河南,4315万,2.0,3.0
1585373622.0,,https://m.weibo.cn/detail/OzwwjpwHT,https://m.weibo.cn/u/1573919467?,2024-10-01 13:54:07,中国,德州,OzwwjpwHT,算盘和花花世界,李诞直播讲述股市大师段永平对自己的感触……祝大家找到热爱，并不痛苦的做下去。一直都觉得，世界上最幸运的事就是能找到自己热爱的事情，并努力下去，每一次的成就感都让自己很快乐。#A股疯涨普通人是否要入局# ,m,0.9999999999496504,318.0,2024-10-01 22:09:07,238.0,我频繁的记录生活，因为一切都值得,山东,15.4万,6.0,82.0
1639498782.0,Oz4gxd68O,https://m.weibo.cn/detail/Oz4gxd68O,https://m.weibo.cn/u/5861117661?,2024-09-28 13:58:20,中国,广州,,南方周末,李诞说呼兰他A股大赚，两眼放光 老猫笔记的微博视频 ,f,0.2801467477900125,35.0,2024-10-01 22:09:07,174.0,gzh：猫财神,广东,12.3万,4.0,3.0
