平台,用户名,内容,分享数,评论数,点赞数,url,uni_id,发布时间
微博,吻奶珊的喵酱,王冰冰#王冰冰#  你在身边就是缘，缘分写在三生石上面。 ,0,11,105,https://m.weibo.cn/detail/P80cNAuB0,,2025-01-04 12:44:14
微博,打彩虹六号的喵酱,王冰冰 今人不见古时玥花絮 ,3,16,27,https://m.weibo.cn/detail/P82TZ2WqM,,2025-01-04 19:36:07
微博,sym诗宇末,王冰冰  消息一则 日前，国家广播电视总局发布“微短剧陪你过大年”2025年微短剧春节档推荐片单，冰冰姐演的《今人不见古时玥》在这份名单中，名单显示，这部微短剧一共15集，每一集13分钟，预计1.31（正月初三）在腾讯视频上线！ PS：央视频应该也会播出的 ,7,17,21,https://m.weibo.cn/detail/P82lD7ooX,,2025-01-04 18:11:29
微博,史前军迷老古董,王冰冰  网页链接 ,1,4,4,https://m.weibo.cn/detail/P812o7HE0,,2025-01-04 14:51:19
微博,熊熊乐宠,报告冰冰，今天快乐烤地瓜王冰冰 ,0,11,10,https://m.weibo.cn/detail/P80WJyM7P,,2025-01-04 14:37:25
微博,追星综娱,慕名看了下王冰冰在小红书的穿搭分享，感觉土土的。。。 ,24,24,16,https://m.weibo.cn/detail/P80CEs9si,,2025-01-04 13:47:56
微博,追星娱综,王冰冰这也忒土了，，，怎么做到每一身都土的，，，我愿称之为嫩土装扮。。。。好爱穿背心 ,23,23,19,https://m.weibo.cn/detail/P80iOF5Ip,,2025-01-04 12:59:04
微博,小小乖乖下士,王冰冰 大家好，我是新人请问一下发帖需要注意什么？ ,0,20,8,https://m.weibo.cn/detail/P802E7ieQ,,2025-01-04 12:19:13
微博,sym诗宇末,王冰冰  页面有啦，大家可以点预约，这样就不会错过了  本次活动邀请任鲁豫老师，冰冰姐，还邀请了歌手亚森，谭杰希，魏巡，短道速滑任子威作为嘉宾帮帮团，共同带领观众在冰天雪地欣赏美景，感受幸福“温度” ,2,8,19,https://m.weibo.cn/detail/P7ZT4rpmf,,2025-01-04 11:55:37
微博,桔子味的汽水熊,恭喜王冰冰获得百大UP主最佳新人奖！礼服造型惊艳，真是太美了！#王冰冰# #娱乐星熠计划第五期# 桔子味的汽水熊的微博视频 ,0,2,0,https://m.weibo.cn/detail/P7ZHQxef7,,2025-01-04 11:27:58
微博,影视侃侃圈,谁会不喜欢王冰冰啊！#王冰冰 #奥运会#微博VC计划#  影视侃侃圈的微博视频 ,0,1,0,https://m.weibo.cn/detail/P7Zzc5u9Y,,2025-01-04 11:06:39
微博,吻奶珊的喵酱,王冰冰王冰冰 原来你是我最想留住的幸运。@吃花椒的喵酱  ,2,130,84,https://m.weibo.cn/detail/P7STvgaoo,,2025-01-03 18:07:28
微博,等雨停的杰,王冰冰 回家～回家～有爱就不怕 ,1,4,5,https://m.weibo.cn/detail/P7YLy70vV,,2025-01-04 09:04:21
