微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id,情感倾向
5172515321154240,Puqsc4QgM,NoraRiku,2025-06-01 00:00:16,你怎么知道我推今天生日你怎么知道我推今天生日你怎么知道我推今天生日德克萨斯6.1生日快乐！——2025版喜欢了你六年也为你庆祝了六年生日，希望能一直见证你的成长（所以缄默德克萨斯返费模组什么时候出！！特限模组什么时候出！！）没时间p图我很抱歉，没时间想文案我很抱歉，糊墙糊得好歪我很 ...全文,5,9,41,中国,上海,上海,这儿Riku，想喝纯牛奶,333,69,男,https://weibo.com/u/6019595257,https://m.weibo.cn/detail/Puqsc4QgM,Puqsc4QgM,0.9903805688411473
5172873766640036,PuzMkrRnm,在極樂中過度沉溺的結局是天國嗎,2025-06-01 23:44:36,哭哭眼睛！#明日方舟陈##明日方舟#明日方舟#明日方舟同人# ,0,0,0,中国,四川,成都,存图,37,1,女,https://weibo.com/u/7623626190,https://m.weibo.cn/detail/PuzMkrRnm,PuzMkrRnm,0.9748941174928
5172873758251341,PuzMjyCy9,起名困难咕咕狐,2025-06-01 23:44:34,文手求约稿  写同人给我写不自信了来约个陪聊帮我看看文，是明日方舟逻博bl，需要您至少熟悉舟大致剧情，熟悉萨米剧情和小罗相关剧情。我的述求是从舟本身的剧情合理性来帮我看看这篇文有没有严重吃书。还适不适合继续写下去😢 ,0,1,1,中国,广东,湛江,多圈人。微博不怎么用，除了吃饭都不打开。,320,29,女,https://weibo.com/u/5982694615,https://m.weibo.cn/detail/PuzMjyCy9,PuzMjyCy9,0.9999994800622541
5172873757197689,PuzMjucrL,左不乐右乐,2025-06-01 23:44:34,左乐#左乐##明日方舟# 好嫩的小脸（比划比划）（捏捏） ,0,0,0,中国,湖北,,Sometimes I am very proud of you.,283,25,女,https://weibo.com/u/6508811641,https://m.weibo.cn/detail/PuzMjucrL,PuzMjucrL,0.1300590200541093
5172873646050574,PuzM8po1U,心碎芝士焗饭,2025-06-01 23:44:07,明日方舟加油站 异德+原皮德两对不拆180包 ,0,0,0,中国,陕西,榆林,纯出收物小号^_＜一般路过二棒，属性在精选，主页访客是手滑非实践请明鉴,57,8,女,https://weibo.com/u/5575434778,https://m.weibo.cn/detail/PuzM8po1U,PuzM8po1U,0.06562485947985819
5172854490143499,Puzhf0Bkv,宇尾野莉子,2025-06-01 22:28:00,坛友小众讨论之银灰应该如何异格成巡空者 ,8,3,19,中国,北京,北京,取关请双取‖梦想是医院爆炸‖cn＝咖喱/梅莉/rico,445,297,女,https://weibo.com/u/6002450136,https://m.weibo.cn/detail/Puzhf0Bkv,Puzhf0Bkv,0.8761623794891501
5172873158199491,PuzLlyp3R,和我推冥婚了,2025-06-01 23:42:11,想起来这个b适量突破还没有打呢 现在每天上明日方舟收个菜就下线了没有玩的欲望 ,0,2,2,中国,上海,上海,发现生活中的小攻大受,170,160,女,https://weibo.com/u/7751610237,https://m.weibo.cn/detail/PuzLlyp3R,PuzLlyp3R,0.9997753286212805
5172873121500565,PuzLi6imF,己糖激酶-,2025-06-01 23:42:02,明日方舟 ,0,0,3,中国,安徽,,我要打游戏,1324,578,女,https://weibo.com/u/5688462051,https://m.weibo.cn/detail/PuzLi6imF,PuzLi6imF,0.7826653358894131
5172872588564109,PuzKqzVUN,李斯罗力杨,2025-06-01 23:39:55,生日快乐🎉德克萨斯明日方舟 ,1,0,1,中国,广东,云浮,,577,2,男,https://weibo.com/u/5691788690,https://m.weibo.cn/detail/PuzKqzVUN,PuzKqzVUN,0.9991097926756151
5172872546355643,PuzKmqFon,秋上渔,2025-06-01 23:39:45,明日方舟加油站 推推，还有余量 ,0,0,0,中国,江苏,镇江,四季同书,451,7,女,https://weibo.com/u/7918711733,https://m.weibo.cn/detail/PuzKmqFon,PuzKmqFon,0.4460022895744148
