用户名,粉丝数,发布时间,视频描述,视频时长,点赞数,收藏数,评论数,下载量,分享数,uni_id,认证,url
冰来冰往,109942,2024-10-21 12:53:22,大冰哥对自己的婚姻和孩子的看法#婚姻 #孩子 #生活 #大冰,3分:26秒,23010,6216,3132,350,13075,7428087453367553334,,https://www.douyin.com/discover?modal_id=7428087453367553334
太累了我,79678,2024-10-23 19:04:12,流浪猫 上帝赋予我怜悯之心，却没有给我解救众生的能力，明明自己过的不如意，却又见不得万物疾苦#流浪猫 #流浪猫救助 #流浪猫渴望被收养的表现,0分:39秒,1537,5,164,0,9,7428925192539295028,,https://www.douyin.com/discover?modal_id=7428925192539295028
鞍山云,2349398,2024-10-14 17:46:33,小孩哥在手机店刷视频，店员在身后偷偷控制屏幕……,0分:15秒,441,32,12,2,197,7425565361161899275,鞍山市新闻传媒中心官方抖音号,https://www.douyin.com/discover?modal_id=7425565361161899275
猫.,16491,2024-10-07 11:21:14,“弟弟太想进步了.”#小孩哥,0分:7秒,6204,236,227,2,5836,7422868494229818658,,https://www.douyin.com/discover?modal_id=7422868494229818658
好动动·台球,73510,2024-10-22 16:57:30,心事全在脸上 #AD哥 #黄启博 #闫冠杰 #鲲联赛,1分:57秒,6037,127,50,0,553,7428521477516840229,,https://www.douyin.com/discover?modal_id=7428521477516840229
娱乐炫瓜姬,198849,2024-07-07 10:47:21,我就说没有男生能拒绝一根完美的棍子 #小孩哥 #一定要看到结尾 #熊孩子搞笑日常,0分:21秒,4570,573,102,0,1027,7387686270903913740,,https://www.douyin.com/discover?modal_id=7387686270903913740
学分的成长日记,8928,2024-10-23 20:03:47,#石凯 是勇敢争取机会的宝宝最最厉害了#沿途盛开 #披荆斩棘的哥哥第四季 #勇敢的人先享受世界 #勇敢,0分:23秒,8134,292,196,0,1021,7428940559168916736,,https://www.douyin.com/discover?modal_id=7428940559168916736
Csgo赛事,1355,2024-10-13 13:35:37,再发一遍，小孩哥太燃了！！！中华民族万岁！！！#小孩哥 #中国,0分:19秒,9350,360,335,29,1677,7425129656933797160,,https://www.douyin.com/discover?modal_id=7425129656933797160
Xi❤️Xi,383,2024-09-15 09:14:46,最佳小孩哥 小孩哥点的搁浅，最后真的跟小孩哥一起哭了谁懂啊？😭#搁浅 #前奏一响拾起多少人的回忆 #小孩哥唱搁浅太深情了 #深圳周杰伦演唱会我来啦,1分:22秒,686,64,60,2,104,7414672047709752576,,https://www.douyin.com/discover?modal_id=7414672047709752576
Xi❤️Xi,383,2024-09-15 09:14:46,最佳小孩哥 小孩哥点的搁浅，最后真的跟小孩哥一起哭了谁懂啊？😭#搁浅 #前奏一响拾起多少人的回忆 #小孩哥唱搁浅太深情了 #深圳周杰伦演唱会我来啦,1分:22秒,686,64,60,2,104,7414672047709752576,,https://www.douyin.com/discover?modal_id=7414672047709752576
小猿口算,355500,2024-10-11 14:52:14,刷到好多小孩哥胜率上来了？这能行？两眼一睁就是干！！ #小猿口算 #小猿口算pk  #小学生 #小孩哥小孩姐 #大学生,0分:10秒,1433,70,144,0,70,7424407206793137459,天津猿力教育科技有限公司,https://www.douyin.com/discover?modal_id=7424407206793137459
小孩哥麻麻（被杰伦发ins版）,21296,2024-10-14 20:43:09,话说也是体验过一把小小流量的人😂##周杰伦 #小孩哥 #一起去见周杰伦,1分:7秒,1601,117,66,0,62,7425610977879526656,,https://www.douyin.com/discover?modal_id=7425610977879526656
东方红,720,2024-10-21 18:55:30,主席说了，只有试过才知道。#毛选 #伟人 #教员 #爱国 #励志,0分:55秒,8470,381,265,46,1020,7428180824073227535,,https://www.douyin.com/discover?modal_id=7428180824073227535
小影娱乐,10656099,2024-07-03 10:35:40,好鲜活的生命力 加入淡斑精华系列 #小孩哥 #生命力,0分:25秒,7889,156,207,8,3398,7387232608532335891,小影娱乐官方账号,https://www.douyin.com/discover?modal_id=7387232608532335891
美静儿3号🥩³¹⁷,1179,2024-10-21 23:44:14,这小孩有点难呀@三斤317（迈之传媒） @𝑇.冬眠¹²²¹ #三斤317 #听潮阁 #尹妹 #直播录屏分享 #人气爆棚,1分:9秒,959,60,42,0,69,7428255205759651098,,https://www.douyin.com/discover?modal_id=7428255205759651098
小孩哥看韩国🇰🇷,89021,2024-07-24 19:59:02,朝鲜投放的垃圾气球里面装了什么 #韩国#朝鲜#搞笑#垃圾气球,0分:12秒,15787,1051,355,0,2804,7395170626396294426,,https://www.douyin.com/discover?modal_id=7395170626396294426
秋实大叔,1711,2024-07-03 23:10:18,小孩哥👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻#小孩哥 #小孩哥名场面 #整条街最靓的仔 #这世界离不开小孩哥 #多么阳光的小男孩,0分:13秒,10822,212,415,9,209,7387427117094538559,,https://www.douyin.com/discover?modal_id=7387427117094538559
切瓜小孩哥,561,2024-10-22 18:59:11,这次京东的套路，我们二游玩家怎么这么眼熟呢？#京东 #游戏 #二游 #吃瓜,1分:4秒,51,2,13,0,7,7428552135765232896,,https://www.douyin.com/discover?modal_id=7428552135765232896
CW,300,2024-10-04 20:17:20,南京最强小孩哥之争#掰手腕 #斗腕 #腕力,1分:30秒,2138,123,886,1,330,7421893448032161061,,https://www.douyin.com/discover?modal_id=7421893448032161061
