用户名,粉丝数,发布时间,视频描述,视频时长,点赞数,收藏数,评论数,下载量,分享数,uni_id,认证,url_2,id,url
娱乐吃瓜酱,3874691,2024/10/22 18:49,小孩哥的童年完整了*#小孩哥 #灵异事件 #万万没想到 #挨打的理由 @抖音小助手 cr：@寂寞才说爱,0分:25秒,2460,110,61,0,1957,7.43E+18,,https://www.douyin.com/discover?modal_id=7428549272762649910,7428549272762649910,https://www.douyin.com/video/7428549272762649910
看??笑??话??,927,2024/10/21 19:41,小孩哥上央视新闻了#小孩哥 #小孩哥小孩姐名场面,0分:59秒,259,21,51,7,250,7.43E+18,,https://www.douyin.com/discover?modal_id=7428192672935890211,7428192672935890211,https://www.douyin.com/video/7428192672935890211
小孩哥—小苹果,54,2024/10/23 23:30,今天小孩哥今天的耐心长一些#让阅读成为一种习惯 #一年级,3分:43秒,0,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428993801751924004,7428993801751924004,https://www.douyin.com/video/7428993801751924004
小孩哥,74,2024/10/23 19:39,#上课 #医学,0分:6秒,31,0,1,0,16,7.43E+18,,https://www.douyin.com/discover?modal_id=7428934291175853362,7428934291175853362,https://www.douyin.com/video/7428934291175853362
扒圈圈,1752319,2024/10/23 23:41,小孩哥好牛啊！,0分:28秒,181,5,4,0,32,7.43E+18,,https://www.douyin.com/discover?modal_id=7428996553404140863,7428996553404140863,https://www.douyin.com/video/7428996553404140863
云要怎么飞,1384,2024/10/23 16:37,又到鸟语林了#抖音热点宝 #小孩哥 #亲近大自然的一天 #小孩哥名场面,0分:0秒,9,1,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428887262332538147,7428887262332538147,https://www.douyin.com/video/7428887262332538147
布丁探娱,4767,2024/10/23 17:29,小孩哥与他的竹叶青宠物...。#小孩哥 #狠人 #蛇,0分:0秒,36,5,4,0,22,7.43E+18,,https://www.douyin.com/discover?modal_id=7428900333062999359,7428900333062999359,https://www.douyin.com/video/7428900333062999359
??小孩哥！,56,2024/10/24 4:40,#KTV,0分:0秒,1,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7429072958783540534,7429072958783540534,https://www.douyin.com/video/7429072958783540534
小孩哥,1102,2024/10/21 15:09,#生活不易 #记录真实生活 #真实还原,3分:52秒,3,0,0,0,5,7.43E+18,,https://www.douyin.com/discover?modal_id=7428122587487669542,7428122587487669542,https://www.douyin.com/video/7428122587487669542
小孩哥,0,2024/10/23 18:59,,0分:10秒,0,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428923984214871330,7428923984214871330,https://www.douyin.com/video/7428923984214871330
新华社,68907693,2024/10/21 15:08,“小孩哥”不慎摔下步道，第一个电话没打给妈妈，却抽泣着打给了119（记者：周磊）,0分:36秒,53106,1080,761,60,881,7.43E+18,新华通讯社官方账号,https://www.douyin.com/discover?modal_id=7428121872094481698,7428121872094481698,https://www.douyin.com/video/7428121872094481698
小孩哥????,5,2024/10/23 16:48,我100天啦～#百天宝宝 #人类幼崽,0分:0秒,7,0,1,0,4,7.43E+18,,https://www.douyin.com/discover?modal_id=7428890142464675123,7428890142464675123,https://www.douyin.com/video/7428890142464675123
艾雅,3552,2024/10/23 10:31,谢谢小孩哥。读高中的时候都不会现在学会了～#小孩哥,2分:39秒,123,32,47,0,83,7.43E+18,,https://www.douyin.com/discover?modal_id=7428793114950651190,7428793114950651190,https://www.douyin.com/video/7428793114950651190
孙子七,656284,2024/10/21 17:40,小孩哥见到刺客16也得立刻起立 #足球的魅力 #刺客16 #小孩哥,0分:12秒,18451,1044,549,25,3379,7.43E+18,,https://www.douyin.com/discover?modal_id=7428161598545481011,7428161598545481011,https://www.douyin.com/video/7428161598545481011
压岁钱养猫的小孩哥,13106,2024/10/21 20:00,150万人看过的小孩哥摆摊帮流浪猫找主人的视频后续来咯#流浪猫 #流浪猫救助 #小孩哥摆摊帮流浪猫找主人,1分:29秒,3431,76,484,1,173,7.43E+18,,https://www.douyin.com/discover?modal_id=7428197701461740858,7428197701461740858,https://www.douyin.com/video/7428197701461740858
毒舌娱乐,5283459,2024/10/21 18:30,小孩哥真就完全是凭实力站在C位上的，太可爱啦！ #可爱到爆炸?? #小孩哥 #逻辑鬼才,1分:17秒,3756,187,134,12,2891,7.43E+18,,https://www.douyin.com/discover?modal_id=7428138247324175651,7428138247324175651,https://www.douyin.com/video/7428138247324175651
